day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
2,2012,10,30,2012-10-30,53.9,48.9,989,8.1,8.9,22.0,46,64.4,50,1.97,999.9,0,181706
3,2012,10,31,2012-10-31,49.7,43.2,999.6,8.6,5.5,14.0,17.1,60.8,45,0.06,999.9,0,289239
4,2012,11,01,2012-11-01,47.7,37.4,1001.8,10,6.0,19.0,23.9,57.2,43,0.04,999.9,0,335120
5,2012,11,02,2012-11-02,48.2,36,1003.4,10,5.2,13.0,25.1,53.6,46,0,999.9,0,321535
6,2012,11,03,2012-11-03,44.7,30.1,1009.4,10,7.6,15.0,25.1,51.8,42.1,0.01,999.9,0,439274
7,2012,11,04,2012-11-04,43.2,29.6,1014.1,10,6.1,15.0,22,51.8,39,0,999.9,0,434019
1,2012,11,05,2012-11-05,42.3,27.3,1016.3,10,5.5,19.0,23.9,48.2,37.9,0,999.9,0,420930
2,2012,11,06,2012-11-06,36.6,17.4,1022,10,4.8,14.0,18.1,45,32,0.07,999.9,0,450531
3,2012,11,07,2012-11-07,37.1,27.1,1014.6,7.3,10.1,42.0,55.9,48.2,30.9,0,999.9,1,443551
4,2012,11,08,2012-11-08,41.2,35.1,1006.4,5.1,15.2,41.0,59.1,55.9,30.2,2.45,999.9,0,486267
5,2012,11,09,2012-11-09,43.3,25.8,1016.1,9.8,9.6,30.9,43.9,53.1,36,0.17,3.9,0,530408
6,2012,11,10,2012-11-10,48,35,1025,7.9,2.0,14.0,20,54,41,0,999.9,0,553368
7,2012,11,11,2012-11-11,54.7,45.1,1030.8,7,1.6,9.9,999.9,63,37.4,0,999.9,0,473452
1,2012,11,12,2012-11-12,56.7,50.2,1029.8,7.4,2.9,9.9,17.1,64.9,48,0,999.9,1,427400
2,2012,11,13,2012-11-13,52.4,47.5,1024.6,8.8,6.1,25.1,29.9,62.6,44.1,0.06,999.9,0,488583
3,2012,11,14,2012-11-14,42.8,29.9,1031.9,9.6,7.7,22.0,28.9,46.9,37,0.33,999.9,0,491671
4,2012,11,15,2012-11-15,40.4,25,1029.7,10,5.3,21.0,27,48.2,36,0,999.9,0,515282
5,2012,11,16,2012-11-16,41.9,29.5,1026.4,9.7,5.8,15.0,999.9,48.2,37.9,0,999.9,0,537113
6,2012,11,17,2012-11-17,43.6,27.9,1034.8,10,4.7,16.9,22,51.1,39,0,999.9,0,547382
7,2012,11,18,2012-11-18,43.2,31,1037.2,9.8,5.5,14.0,21,48.9,34,0,999.9,0,466313
1,2012,11,19,2012-11-19,43,34.8,1032.3,10,6.3,16.9,22.9,53.6,37.9,0,999.9,0,450665
2,2012,11,20,2012-11-20,44.4,32.8,1022.1,10,3.6,14.0,19,51.8,39.9,0,999.9,0,471370
3,2012,11,21,2012-11-21,46.5,32.7,1021.7,10,4.2,16.9,22,53.6,41,0,999.9,0,467989
4,2012,11,22,2012-11-22,47.3,36.2,1023.4,10,3.4,15.9,999.9,54,42.1,0,999.9,0,328991
5,2012,11,23,2012-11-23,48.3,40.8,1016.5,8.9,3.4,8.9,999.9,54,39.2,0,999.9,1,369154
6,2012,11,24,2012-11-24,44.1,27.7,1006.8,9.5,7.6,20.0,30.9,53.1,37.9,0.01,999.9,1,441814
7,2012,11,25,2012-11-25,36.6,17.2,1011.6,10,7.1,22.9,30.9,41,33.1,0,999.9,0,413434
1,2012,11,26,2012-11-26,40.3,19.7,1017.3,10,4.9,16.9,23.9,46.9,36,0,999.9,0,436770
2,2012,11,27,2012-11-27,38.7,27.2,1024.2,7,4.4,9.9,999.9,44.6,33.8,0,999.9,0,477516
3,2012,11,28,2012-11-28,37.5,28.8,1022.7,9.3,7.1,21.0,28,44.6,34,0.59,999.9,0,495403
4,2012,11,29,2012-11-29,37.5,21.9,1025.9,9.7,5.8,15.9,22.9,43,32,0.01,999.9,0,519636
5,2012,11,30,2012-11-30,41.3,25.8,1027.7,9.3,4.7,18.1,22.9,46,35.6,0,999.9,0,541088
6,2012,12,01,2012-12-01,38.5,32.1,1031.4,9.3,9.2,14.0,22,45,34,0,999.9,0,569804
7,2012,12,02,2012-12-02,44.3,41,1026.9,3.9,3.0,15.0,999.9,53.6,41,0.08,999.9,1,484310
1,2012,12,03,2012-12-03,53.5,45.3,1021.4,7,3.9,15.0,999.9,60.1,39.2,0.04,999.9,0,453814
2,2012,12,04,2012-12-04,51.9,47.1,1022.8,5.6,2.9,9.9,999.9,62.1,37.4,0.04,999.9,1,485435
3,2012,12,05,2012-12-05,52.6,41.5,1016.3,9.1,6.3,19.0,28,57.9,39.9,0.01,999.9,0,513344
4,2012,12,06,2012-12-06,35,16.8,1025.5,10,3.6,19.0,27,45,28,0.01,999.9,0,519812
5,2012,12,07,2012-12-07,38.8,30.9,1022.7,7.9,1.9,12.0,999.9,48.2,26.6,0,999.9,0,530731
6,2012,12,08,2012-12-08,47.3,46,1013.7,3.7,3.5,15.9,22,55.4,42.8,0.32,999.9,1,548773
7,2012,12,09,2012-12-09,46.2,41.7,1020.7,7.2,5.4,15.9,21,50,42.1,0.25,999.9,0,487840
1,2012,12,10,2012-12-10,50.3,49.5,1011.1,2.8,5.7,19.0,26,57.9,43,0.35,999.9,1,450641
2,2012,12,11,2012-12-11,50.1,43.2,1013.2,7.3,6.0,19.0,26,59,42.8,0.23,999.9,1,495098
3,2012,12,12,2012-12-12,40.1,23.6,1026,10,3.3,12.0,19,43,33.8,0.01,999.9,0,516453
4,2012,12,13,2012-12-13,40.3,24.6,1029.8,10,1.7,11.1,999.9,46,32,0,999.9,0,538650
5,2012,12,14,2012-12-14,41.4,23.2,1024.4,10,4.1,18.1,25.1,48,28,0,999.9,0,565711
6,2012,12,15,2012-12-15,42.6,27.1,1024.5,9.9,2.8,13.0,19,46.9,33.8,0,999.9,0,555458
7,2012,12,16,2012-12-16,44.5,37.8,1019.8,7.5,6.5,19.0,27,46.9,30.2,0,999.9,0,485255
1,2012,12,17,2012-12-17,42,40.4,1011.3,5.6,9.5,20.0,28,50,39,0.44,999.9,0,476358
2,2012,12,18,2012-12-18,47.3,44.5,1000.3,5.3,7.0,12.0,22,54,42.1,0.34,999.9,0,501700
3,2012,12,19,2012-12-19,44,30.5,1007.4,10,9.3,25.1,34,48,41,0.07,999.9,0,520247
4,2012,12,20,2012-12-20,39.8,29,1020.3,10,8.5,22.9,29.9,44.6,35.1,0.02,999.9,0,531204
5,2012,12,21,2012-12-21,47.3,42.9,996.6,7.1,9.4,32.1,42.9,55.9,39,0.56,999.9,0,538664
6,2012,12,22,2012-12-22,37.4,25,998.4,10,10.6,25.1,32.1,45,33.1,0.7,999.9,0,482527
7,2012,12,23,2012-12-23,37.8,20.5,1011.5,10,7.6,21.0,32.1,42.1,33.1,0.01,999.9,0,368789
1,2012,12,24,2012-12-24,37,19.8,1016.1,10,3.0,12.0,22,42.1,28.9,0,999.9,0,344594
2,2012,12,25,2012-12-25,37.5,32.5,1016.2,6.8,4.8,15.0,25.1,46.4,30.2,0.01,999.9,0,227615
3,2012,12,26,2012-12-26,32.2,25.3,1022.1,8.8,9.5,19.0,29.9,39.2,28,0.13,999.9,1,347026
4,2012,12,27,2012-12-27,39.1,37.1,996.6,6,12.4,34.0,53,52,33.1,0.84,999.9,1,401642
5,2012,12,28,2012-12-28,33,22.4,1015.3,9.4,10.0,22.0,34,41,30,0.37,999.9,0,431556
6,2012,12,29,2012-12-29,32.5,26.2,1013.1,7.8,5.3,21.0,28,44.6,24.8,0,999.9,1,442861
7,2012,12,30,2012-12-30,32.4,21.1,1011.1,8.8,11.9,39.0,49.9,44.6,28.9,1.9,999.9,0,426739
1,2012,12,31,2012-12-31,31.5,17.2,1019.6,10,6.8,22.9,35.9,37.4,26.1,0,999.9,0,453958
